id,name,country,mechanic,govt_take_pct_at_75,contractor_npv_musd_at_75,irr_pct_at_75,breakeven_usd
10214,NOR PL224 — 7218/8,Norway,Production License,67.27,800.0,76.3,-1.0
10215,NOR PL1263 — 6202/8,Norway,Production License,67.27,800.0,76.3,-1.0
10216,NOR PL341 — 24/9,Norway,Production License,67.27,800.0,76.3,-1.0
10217,NOR PL1196 — 7120/7,Norway,Production License,67.27,800.0,76.3,-1.0
10218,NOR PL902 B — 7120/1,Norway,Production License,67.27,800.0,76.3,-1.0
10219,NOR PL658 — 7122/2,Norway,Production License,67.27,800.0,76.3,-1.0
10220,NOR PL1078 — 7220/6,Norway,Production License,67.27,800.0,76.3,-1.0
10221,NOR PL1098 — 25/5,Norway,Production License,67.27,800.0,76.3,-1.0
10222,NOR PL1013 — 6608/11,Norway,Production License,67.27,800.0,76.3,-1.0
10223,NOR PL782 SC — 25/7,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10224,NOR PL729 — 2/1,Norway,Production License,67.27,800.0,76.3,-1.0
10225,NOR PL1192 — 6503/4,Norway,Production License,67.27,800.0,76.3,-1.0
10226,NOR PL855 — 7325/4,Norway,Production License,67.27,800.0,76.3,-1.0
10227,NOR PL1238 — 7117/7,Norway,Production License,67.27,800.0,76.3,-1.0
10228,NOR PL860 — 2/6,Norway,Production License,67.27,800.0,76.3,-1.0
10229,NOR PL153 B — 35/9,Norway,Production License,67.27,800.0,76.3,-1.0
10230,NOR PL959 — 6503/12,Norway,Production License,67.27,800.0,76.3,-1.0
10231,NOR PL689 B — 6307/1,Norway,Production License,67.27,800.0,76.3,-1.0
10232,NOR PL239 — 4/5,Norway,Production License,67.27,800.0,76.3,-1.0
10233,NOR PL786 — 32/1,Norway,Production License,67.27,800.0,76.3,-1.0
10234,NOR PL051 — 30/2,Norway,Production License,67.27,800.0,76.3,-1.0
10235,NOR PL233 — 7129/1,Norway,Production License,67.27,800.0,76.3,-1.0
10236,NOR PL019 — 2/1,Norway,Production License,65.8,835.8,76.3,-1.0
10237,NOR PL902 — 7120/1,Norway,Production License,67.27,800.0,76.3,-1.0
10238,NOR PL1106 — 34/5,Norway,Production License,67.27,800.0,76.3,-1.0
10239,NOR PL826 — 29/3,Norway,Production License,67.27,800.0,76.3,-1.0
10240,NOR PL508 S — 30/4,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10241,NOR PL706 — 7017/6,Norway,Production License,67.27,800.0,76.3,-1.0
10242,NOR PL1020 — 6707/5,Norway,Production License,67.27,800.0,76.3,-1.0
10243,NOR PL711 — 7218/5,Norway,Production License,67.27,800.0,76.3,-1.0
10244,NOR PL316 DS — 9/3,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10245,NOR PL143 BS — 1/2,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10246,NOR PL769 — 7124/5,Norway,Production License,67.27,800.0,76.3,-1.0
10247,NOR PL1270 — 6406/6,Norway,Production License,67.27,800.0,76.3,-1.0
10248,NOR PL857 — 7132/6,Norway,Production License,67.27,800.0,76.3,-1.0
10249,NOR PL055 D — 31/4,Norway,Production License,67.88,785.0,76.3,-1.0
10250,NOR PL490 — 7120/5,Norway,Production License,67.27,800.0,76.3,-1.0
10251,NOR PL1230 — 6608/7,Norway,Production License,67.27,800.0,76.3,-1.0
10252,NOR PL953 — 7123/2,Norway,Production License,67.27,800.0,76.3,-1.0
10253,NOR PL641 — 6204/10,Norway,Production License,67.27,800.0,76.3,-1.0
10254,NOR PL836 S — 6406/3,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10255,NOR PL560 — 6608/7,Norway,Production License,67.27,800.0,76.3,-1.0
10256,NOR PL1083 — 7229/1,Norway,Production License,67.27,800.0,76.3,-1.0
10257,NOR PL962 — 7322/5,Norway,Production License,67.27,800.0,76.3,-1.0
10258,NOR PL433 — 6506/9,Norway,Production License,67.27,800.0,76.3,-1.0
10259,NOR PL393 B — 7125/4,Norway,Production License,67.27,800.0,76.3,-1.0
10260,NOR PL044 B — 2/7,Norway,Production License,67.27,800.0,76.3,-1.0
10261,NOR PL083 — 6609/11,Norway,Production License,67.27,800.0,76.3,-1.0
10262,NOR PL914 S — 16/1,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10263,NOR PL1047 — 30/4,Norway,Production License,67.27,800.0,76.3,-1.0
10264,NOR PL696 — 7020/2,Norway,Production License,67.27,800.0,76.3,-1.0
10265,NOR PL995 — 6304/8,Norway,Production License,67.27,800.0,76.3,-1.0
10266,NOR PL1309 — 6605/7,Norway,Production License,67.27,800.0,76.3,-1.0
10267,NOR PL1238 — 7116/6,Norway,Production License,67.27,800.0,76.3,-1.0
10268,NOR PL799 — 6506/6,Norway,Production License,67.27,800.0,76.3,-1.0
10269,NOR PL731 — 8/10,Norway,Production License,67.27,800.0,76.3,-1.0
10270,NOR PL835 — 6507/12,Norway,Production License,67.27,800.0,76.3,-1.0
10271,NOR PL574 — 30/10,Norway,Production License,67.27,800.0,76.3,-1.0
10272,NOR PL507 — 30/12,Norway,Production License,67.27,800.0,76.3,-1.0
10273,NOR PL894 — 6605/7,Norway,Production License,67.27,800.0,76.3,-1.0
10274,NOR PL649 — 6506/2,Norway,Production License,67.27,800.0,76.3,-1.0
10275,NOR PL569 — 16/4,Norway,Production License,67.27,800.0,76.3,-1.0
10276,NOR PL347 — 6407/8,Norway,Production License,67.27,800.0,76.3,-1.0
10277,NOR PL1158 — 6406/8,Norway,Production License,67.27,800.0,76.3,-1.0
10278,NOR PL777 — 15/6,Norway,Production License,67.27,800.0,76.3,-1.0
10279,NOR PL369 — 32/5,Norway,Production License,67.27,800.0,76.3,-1.0
10280,NOR PL233 — 7130/3,Norway,Production License,67.27,800.0,76.3,-1.0
10281,NOR PL104 — 30/9,Norway,Production License,67.27,800.0,76.3,-1.0
10282,NOR PL1144 — 25/2,Norway,Production License,67.27,800.0,76.3,-1.0
10283,NOR PL1038 — 16/5,Norway,Production License,67.27,800.0,76.3,-1.0
10284,NOR PL085 B — 32/4,Norway,Production License,81.89,442.6,76.3,-1.0
10285,NOR PL822 S — 25/2,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10286,NOR PL221 — 7216/12,Norway,Production License,67.27,800.0,76.3,-1.0
10287,NOR PL861 — 2/6,Norway,Production License,67.27,800.0,76.3,-1.0
10288,NOR PL959 — 6504/11,Norway,Production License,67.27,800.0,76.3,-1.0
10289,NOR PL1108 — 35/9,Norway,Production License,67.27,800.0,76.3,-1.0
10290,NOR PL882 — 33/6,Norway,Production License,67.27,800.0,76.3,-1.0
10291,NOR PL1192 — 6503/2,Norway,Production License,67.27,800.0,76.3,-1.0
10292,NOR PL1078 B — 7220/9,Norway,Production License,67.27,800.0,76.3,-1.0
10293,NOR PL871 — 25/1,Norway,Production License,67.27,800.0,76.3,-1.0
10294,NOR PL873 — 25/2,Norway,Production License,67.27,800.0,76.3,-1.0
10295,NOR PL1049 — 34/9,Norway,Production License,67.27,800.0,76.3,-1.0
10296,NOR PL224 — 7218/10,Norway,Production License,67.27,800.0,76.3,-1.0
10297,NOR PL405 — 8/8,Norway,Production License,67.27,800.0,76.3,-1.0
10298,NOR PL609 — 7221/4,Norway,Production License,67.27,800.0,76.3,-1.0
10299,NOR PL819 — 25/9,Norway,Production License,67.27,800.0,76.3,-1.0
10300,NOR PL851 — 7220/9,Norway,Production License,67.27,800.0,76.3,-1.0
10301,NOR PL1270 — 6406/3,Norway,Production License,67.27,800.0,76.3,-1.0
10302,NOR PL242 B — 16/1,Norway,Production License,67.27,800.0,76.3,-1.0
10303,NOR PL038 — 6/3,Norway,Production License,67.27,800.0,76.3,-1.0
10304,NOR PL627 — 25/8,Norway,Production License,67.27,800.0,76.3,-1.0
10305,NOR PL1242 — 7218/1,Norway,Production License,67.27,800.0,76.3,-1.0
10306,NOR PL208 — 6305/7,Norway,Production License,67.27,800.0,76.3,-1.0
10307,NOR PL1272 — 6605/10,Norway,Production License,67.27,800.0,76.3,-1.0
10308,NOR PL090 F — 35/11,Norway,Production License,67.27,800.0,76.3,-1.0
10309,NOR PL924 — 35/12,Norway,Production License,67.27,800.0,76.3,-1.0
10310,NOR PL411 — 17/1,Norway,Production License,67.27,800.0,76.3,-1.0
10311,NOR PL598 — 6601/9,Norway,Production License,67.27,800.0,76.3,-1.0
10312,NOR PL1178 — 30/6,Norway,Production License,67.27,800.0,76.3,-1.0
10313,NOR PL144 — 1/6,Norway,Production License,67.27,800.0,76.3,-1.0
10314,NOR PL1005 — 6405/7,Norway,Production License,67.27,800.0,76.3,-1.0
10315,NOR PL1094 — 17/5,Norway,Production License,67.27,800.0,76.3,-1.0
10316,NOR PL224 — 7218/11,Norway,Production License,67.27,800.0,76.3,-1.0
10317,NOR PL458 — 25/10,Norway,Production License,67.27,800.0,76.3,-1.0
10318,NOR PL329 — 6607/2,Norway,Production License,67.27,800.0,76.3,-1.0
10319,NOR PL995 — 6304/7,Norway,Production License,67.27,800.0,76.3,-1.0
10320,NOR PL615 — 7324/3,Norway,Production License,67.27,800.0,76.3,-1.0
10321,NOR PL905 — 2/5,Norway,Production License,67.27,800.0,76.3,-1.0
10322,NOR PL881 — 33/9,Norway,Production License,67.27,800.0,76.3,-1.0
10323,NOR PL019 G — 2/1,Norway,Production License,65.8,835.8,76.3,-1.0
10324,NOR PL965 — 7323/6,Norway,Production License,67.27,800.0,76.3,-1.0
10325,NOR PL1082 — 7226/5,Norway,Production License,67.27,800.0,76.3,-1.0
10326,NOR PL878 — 30/3,Norway,Production License,67.27,800.0,76.3,-1.0
10327,NOR PL907 — 7/8,Norway,Production License,67.27,800.0,76.3,-1.0
10328,NOR PL771 — 2/9,Norway,Production License,67.27,800.0,76.3,-1.0
10329,NOR PL1194 C — 6606/7,Norway,Production License,67.27,800.0,76.3,-1.0
10330,NOR PL518 B — 7121/11,Norway,Production License,67.27,800.0,76.3,-1.0
10331,NOR PL656 — 6610/3,Norway,Production License,67.27,800.0,76.3,-1.0
10332,NOR PL777 C — 15/5,Norway,Production License,67.27,800.0,76.3,-1.0
10333,NOR PL012 — 10/7,Norway,Production License,67.27,800.0,76.3,-1.0
10334,NOR PL027 C — 25/8,Norway,Production License,67.27,800.0,76.3,-1.0
10335,NOR PL659 — 7121/3,Norway,Production License,67.27,800.0,76.3,-1.0
10336,NOR PL137 — 7224/8,Norway,Production License,67.27,800.0,76.3,-1.0
10337,NOR PL209 BS — 6305/5,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10338,NOR PL1136 — 4/3,Norway,Production License,67.27,800.0,76.3,-1.0
10339,NOR PL659 — 7122/1,Norway,Production License,67.27,800.0,76.3,-1.0
10340,NOR PL205 — 32/1,Norway,Production License,67.27,800.0,76.3,-1.0
10341,NOR PL1221 — 6306/5,Norway,Production License,67.27,800.0,76.3,-1.0
10342,NOR PL1047 — 30/8,Norway,Production License,67.27,800.0,76.3,-1.0
10343,NOR PL1245 — 7/2,Norway,Production License,67.27,800.0,76.3,-1.0
10344,NOR PL1244 — 3/4,Norway,Production License,67.27,800.0,76.3,-1.0
10345,NOR PL889 — 6507/9,Norway,Production License,67.27,800.0,76.3,-1.0
10346,NOR PL1086 B — 2/5,Norway,Production License,67.27,800.0,76.3,-1.0
10347,NOR PL1197 — 7231/5,Norway,Production License,67.27,800.0,76.3,-1.0
10348,NOR PL741 — 31/5,Norway,Production License,67.27,800.0,76.3,-1.0
10349,NOR PL140 — 7321/7,Norway,Production License,67.27,800.0,76.3,-1.0
10350,NOR PL1054 — 34/5,Norway,Production License,67.27,800.0,76.3,-1.0
10351,NOR PL806 — 7124/3,Norway,Production License,67.27,800.0,76.3,-1.0
10352,NOR PL899 — 6706/12,Norway,Production License,67.27,800.0,76.3,-1.0
10353,NOR PL142 — 29/9,Norway,Production License,67.27,800.0,76.3,-1.0
10354,NOR PL670 — 7/12,Norway,Production License,67.27,800.0,76.3,-1.0
10355,NOR PL207 — 6302/8,Norway,Production License,67.27,800.0,76.3,-1.0
10356,NOR PL197 — 6306/2,Norway,Production License,67.27,800.0,76.3,-1.0
10357,NOR PL605 — 7119/2,Norway,Production License,67.27,800.0,76.3,-1.0
10358,NOR PL1213 S — 35/7,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10359,NOR PL327 — 6705/9,Norway,Production License,67.27,800.0,76.3,-1.0
10360,NOR PL766 — 7119/9,Norway,Production License,67.27,800.0,76.3,-1.0
10361,NOR PL986 — 25/2,Norway,Production License,67.27,800.0,76.3,-1.0
10362,NOR PL211 CS — 6507/4,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10363,NOR PL1099 — 30/12,Norway,Production License,67.27,800.0,76.3,-1.0
10364,NOR PL1313 — 7327/10,Norway,Production License,67.27,800.0,76.3,-1.0
10365,NOR PL1264 — 6203/7,Norway,Production License,67.27,800.0,76.3,-1.0
10366,NOR PL209 BS — 6305/4,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10367,NOR PL450 — 7/12,Norway,Production License,67.27,800.0,76.3,-1.0
10368,NOR PL1229 — 6507/7,Norway,Production License,67.27,800.0,76.3,-1.0
10369,NOR PL557 B — 6406/1,Norway,Production License,67.27,800.0,76.3,-1.0
10370,NOR PL947 — 6607/6,Norway,Production License,67.27,800.0,76.3,-1.0
10371,NOR PL372 S — 34/3,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10372,NOR PL1176 — 30/9,Norway,Production License,67.27,800.0,76.3,-1.0
10373,NOR PL427 S — 34/1,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10374,NOR PL475 — 6406/3,Norway,Production License,67.27,800.0,76.3,-1.0
10375,NOR PL1175 — 25/4,Norway,Production License,67.27,800.0,76.3,-1.0
10376,NOR PL591 C — 6507/11,Norway,Production License,67.27,800.0,76.3,-1.0
10377,NOR PL1024 — 7226/11,Norway,Production License,67.27,800.0,76.3,-1.0
10378,NOR PL321 — 6306/2,Norway,Production License,67.27,800.0,76.3,-1.0
10379,NOR PL1075 — 7123/4,Norway,Production License,67.27,800.0,76.3,-1.0
10380,NOR PL786 — 31/3,Norway,Production License,67.27,800.0,76.3,-1.0
10381,NOR PL884 — 35/3,Norway,Production License,67.27,800.0,76.3,-1.0
10382,NOR PL137 — 7224/7,Norway,Production License,67.27,800.0,76.3,-1.0
10383,NOR PL849 — 7121/8,Norway,Production License,67.27,800.0,76.3,-1.0
10384,NOR PL1029 — 7322/11,Norway,Production License,67.27,800.0,76.3,-1.0
10385,NOR PL1101 — 30/1,Norway,Production License,67.27,800.0,76.3,-1.0
10386,NOR PL1021 — 7020/1,Norway,Production License,67.27,800.0,76.3,-1.0
10387,NOR PL595 — 7124/2,Norway,Production License,67.27,800.0,76.3,-1.0
10388,NOR PL640 — 6202/11,Norway,Production License,67.27,800.0,76.3,-1.0
10389,NOR PL923 — 31/1,Norway,Production License,67.27,800.0,76.3,-1.0
10390,NOR PL432 B — 6507/12,Norway,Production License,67.27,800.0,76.3,-1.0
10391,NOR PL1014 B — 6510/1,Norway,Production License,67.27,800.0,76.3,-1.0
10392,NOR PL1179 — 35/12,Norway,Production License,67.27,800.0,76.3,-1.0
10393,NOR PL512 — 6407/8,Norway,Production License,67.27,800.0,76.3,-1.0
10394,NOR PL468 B — 6305/9,Norway,Production License,67.27,800.0,76.3,-1.0
10395,NOR PL336 — 7/12,Norway,Production License,67.27,800.0,76.3,-1.0
10396,NOR PL658 — 7121/2,Norway,Production License,67.27,800.0,76.3,-1.0
10397,NOR PL868 — 16/1,Norway,Production License,67.27,800.0,76.3,-1.0
10398,NOR PL397 — 7230/5,Norway,Production License,67.27,800.0,76.3,-1.0
10399,NOR PL742 — 31/4,Norway,Production License,67.27,800.0,76.3,-1.0
10400,NOR PL843 — 6609/10,Norway,Production License,67.27,800.0,76.3,-1.0
10401,NOR PL1149 — 35/8,Norway,Production License,67.27,800.0,76.3,-1.0
10402,NOR PL294 — 35/4,Norway,Production License,67.27,800.0,76.3,-1.0
10403,NOR PL228 — 7222/8,Norway,Production License,67.27,800.0,76.3,-1.0
10404,NOR PL875 B — 30/10,Norway,Production License,67.27,800.0,76.3,-1.0
10405,NOR PL873 B — 25/1,Norway,Production License,67.27,800.0,76.3,-1.0
10406,NOR PL1245 — 7/3,Norway,Production License,67.27,800.0,76.3,-1.0
10407,NOR PL1110 — 35/3,Norway,Production License,67.27,800.0,76.3,-1.0
10408,NOR PL1072 — 7119/10,Norway,Production License,67.27,800.0,76.3,-1.0
10409,NOR PL1057 — 6403/10,Norway,Production License,67.27,800.0,76.3,-1.0
10410,NOR PL1254 — 36/10,Norway,Production License,67.27,800.0,76.3,-1.0
10411,NOR PL796 — 6407/2,Norway,Production License,67.27,800.0,76.3,-1.0
10412,NOR PL086 — 7/1,Norway,Production License,67.27,800.0,76.3,-1.0
10413,NOR PL037 B — 33/12,Norway,Production License,86.81,322.4,76.3,-1.0
10414,NOR PL866 — 15/5,Norway,Production License,67.27,800.0,76.3,-1.0
10415,NOR PL139 — 7226/9,Norway,Production License,67.27,800.0,76.3,-1.0
10416,NOR PL796 — 6407/5,Norway,Production License,67.27,800.0,76.3,-1.0
10417,NOR PL364 — 25/3,Norway,Production License,67.27,800.0,76.3,-1.0
10418,NOR PL1051 — 36/10,Norway,Production License,67.27,800.0,76.3,-1.0
10419,NOR PL1014 — 6610/11,Norway,Production License,67.27,800.0,76.3,-1.0
10420,NOR PL230 — 7125/3,Norway,Production License,67.27,800.0,76.3,-1.0
10421,NOR PL520 — 6503/4,Norway,Production License,67.27,800.0,76.3,-1.0
10422,NOR PL1100 — 30/8,Norway,Production License,67.27,800.0,76.3,-1.0
10423,NOR PL1002 — 6407/4,Norway,Production License,67.27,800.0,76.3,-1.0
10424,NOR PL004 — 6/3,Norway,Production License,67.27,800.0,76.3,-1.0
10425,NOR PL993 — 33/6,Norway,Production License,67.27,800.0,76.3,-1.0
10426,NOR PL453 S — 8/11,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10427,NOR PL1271 S — 6607/12,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10428,NOR PL1151 — 35/7,Norway,Production License,67.27,800.0,76.3,-1.0
10429,NOR PL997 — 6306/7,Norway,Production License,67.27,800.0,76.3,-1.0
10430,NOR PL1024 — 7226/10,Norway,Production License,67.27,800.0,76.3,-1.0
10431,NOR PL294 — 35/5,Norway,Production License,67.27,800.0,76.3,-1.0
10432,NOR PL527 — 6703/9,Norway,Production License,67.27,800.0,76.3,-1.0
10433,NOR PL462 S — 30/1,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10434,NOR PL1296 — 6204/4,Norway,Production License,67.27,800.0,76.3,-1.0
10435,NOR PL627 — 25/5,Norway,Production License,67.27,800.0,76.3,-1.0
10436,NOR PL260 — 6507/7,Norway,Production License,67.27,800.0,76.3,-1.0
10437,NOR PL1158 — 6406/10,Norway,Production License,67.27,800.0,76.3,-1.0
10438,NOR PL657 — 7122/9,Norway,Production License,67.27,800.0,76.3,-1.0
10439,NOR PL475 D — 6407/1,Norway,Production License,67.27,800.0,76.3,-1.0
10440,NOR PL1226 — 6506/10,Norway,Production License,67.27,800.0,76.3,-1.0
10441,NOR PL1029 — 7222/3,Norway,Production License,67.27,800.0,76.3,-1.0
10442,NOR PL463 S — 30/4,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10443,NOR PL178 — 7122/4,Norway,Production License,67.27,800.0,76.3,-1.0
10444,NOR PL768 — 7123/5,Norway,Production License,67.27,800.0,76.3,-1.0
10445,NOR PL1234 — 6706/11,Norway,Production License,67.27,800.0,76.3,-1.0
10446,NOR PL674 — 17/2,Norway,Production License,67.27,800.0,76.3,-1.0
10447,NOR PL488 — 7120/10,Norway,Production License,67.27,800.0,76.3,-1.0
10448,NOR PL1025 SB — 7219/4,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10449,NOR PL251 — 6303/7,Norway,Production License,67.27,800.0,76.3,-1.0
10450,NOR PL817 — 15/3,Norway,Production License,67.27,800.0,76.3,-1.0
10451,NOR PL1267 — 6407/5,Norway,Production License,67.27,800.0,76.3,-1.0
10452,NOR PL408 — 15/8,Norway,Production License,67.27,800.0,76.3,-1.0
10453,NOR PL990 — 35/10,Norway,Production License,67.27,800.0,76.3,-1.0
10454,NOR PL1070 — 6504/9,Norway,Production License,67.27,800.0,76.3,-1.0
10455,NOR PL1197 — 7231/6,Norway,Production License,67.27,800.0,76.3,-1.0
10456,NOR PL468 — 6305/9,Norway,Production License,67.27,800.0,76.3,-1.0
10457,NOR PL739 S — 31/11,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10458,NOR PL670 — 7/11,Norway,Production License,67.27,800.0,76.3,-1.0
10459,NOR PL432 — 6507/9,Norway,Production License,67.27,800.0,76.3,-1.0
10460,NOR PL602 — 6706/11,Norway,Production License,67.27,800.0,76.3,-1.0
10461,NOR PL1224 — 6406/5,Norway,Production License,67.27,800.0,76.3,-1.0
10462,NOR PL1057 — 6403/11,Norway,Production License,67.27,800.0,76.3,-1.0
10463,NOR PL808 — 2/5,Norway,Production License,67.27,800.0,76.3,-1.0
10464,NOR PL954 — 7121/1,Norway,Production License,67.27,800.0,76.3,-1.0
10465,NOR PL1007 B — 6506/10,Norway,Production License,67.27,800.0,76.3,-1.0
10466,NOR PL613 — 7322/11,Norway,Production License,67.27,800.0,76.3,-1.0
10467,NOR PL609 — 7220/12,Norway,Production License,67.27,800.0,76.3,-1.0
10468,NOR PL812 — 15/9,Norway,Production License,67.27,800.0,76.3,-1.0
10469,NOR PL401 — 4/2,Norway,Production License,67.27,800.0,76.3,-1.0
10470,NOR PL724 B — 2/2,Norway,Production License,67.27,800.0,76.3,-1.0
10471,NOR PL966 — 7327/8,Norway,Production License,67.27,800.0,76.3,-1.0
10472,NOR PL1170 — 7324/8,Norway,Production License,67.27,800.0,76.3,-1.0
10473,NOR PL489 — 7120/11,Norway,Production License,67.27,800.0,76.3,-1.0
10474,NOR PL455 — 9/1,Norway,Production License,67.27,800.0,76.3,-1.0
10475,NOR PL507 — 31/10,Norway,Production License,67.27,800.0,76.3,-1.0
10476,NOR PL136 — 7219/9,Norway,Production License,67.27,800.0,76.3,-1.0
10477,NOR PL728 — 4/1,Norway,Production License,67.27,800.0,76.3,-1.0
10478,NOR PL212 D — 6507/9,Norway,Production License,67.27,800.0,76.3,-1.0
10479,NOR PL1026 — 7222/7,Norway,Production License,67.27,800.0,76.3,-1.0
10480,NOR PL1071 — 6706/10,Norway,Production License,67.27,800.0,76.3,-1.0
10481,NOR PL1051 — 31/3,Norway,Production License,67.27,800.0,76.3,-1.0
10482,NOR PL369 — 32/4,Norway,Production License,67.27,800.0,76.3,-1.0
10483,NOR PL464 — 32/1,Norway,Production License,67.27,800.0,76.3,-1.0
10484,NOR PL718 — 7317/9,Norway,Production License,67.27,800.0,76.3,-1.0
10485,NOR PL1039 — 16/5,Norway,Production License,67.27,800.0,76.3,-1.0
10486,NOR PL932 — 34/6,Norway,Production License,67.27,800.0,76.3,-1.0
10487,NOR PL1103 — 30/3,Norway,Production License,67.27,800.0,76.3,-1.0
10488,NOR PL1008 — 6506/3,Norway,Production License,67.27,800.0,76.3,-1.0
10489,NOR PL788 — 35/4,Norway,Production License,67.27,800.0,76.3,-1.0
10490,NOR PL896 — 6610/2,Norway,Production License,67.27,800.0,76.3,-1.0
10491,NOR PL321 — 6306/5,Norway,Production License,67.27,800.0,76.3,-1.0
10492,NOR PL1000 — 6406/9,Norway,Production License,67.27,800.0,76.3,-1.0
10493,NOR PL712 — 7219/4,Norway,Production License,67.27,800.0,76.3,-1.0
10494,NOR PL658 B — 7121/5,Norway,Production License,67.27,800.0,76.3,-1.0
10495,NOR PL1239 — 7219/9,Norway,Production License,67.27,800.0,76.3,-1.0
10496,NOR PL920 — 30/8,Norway,Production License,67.27,800.0,76.3,-1.0
10497,NOR PL381 — 6407/8,Norway,Production License,67.27,800.0,76.3,-1.0
10498,NOR PL393 — 7125/4,Norway,Production License,67.27,800.0,76.3,-1.0
10499,NOR PL406 — 9/1,Norway,Production License,67.27,800.0,76.3,-1.0
10500,NOR PL130 — 6201/11,Norway,Production License,67.27,800.0,76.3,-1.0
10501,NOR PL952 — 7124/8,Norway,Production License,67.27,800.0,76.3,-1.0
10502,NOR PL1039 — 16/3,Norway,Production License,67.27,800.0,76.3,-1.0
10503,NOR PL1009 — 6506/6,Norway,Production License,67.27,800.0,76.3,-1.0
10504,NOR PL256 — 6406/1,Norway,Production License,67.27,800.0,76.3,-1.0
10505,NOR PL134 — 6506/11,Norway,Production License,67.27,800.0,76.3,-1.0
10506,NOR PL711 — 7218/4,Norway,Production License,67.27,800.0,76.3,-1.0
10507,NOR PL115 — 9/3,Norway,Production License,67.27,800.0,76.3,-1.0
10508,NOR PL159 F — 6507/3,Norway,Production License,67.27,800.0,76.3,-1.0
10509,NOR PL050 C — 34/10,Norway,Production License,67.27,800.0,76.3,-1.0
10510,NOR PL945 — 6606/5,Norway,Production License,67.27,800.0,76.3,-1.0
10511,NOR PL488 — 7119/12,Norway,Production License,67.27,800.0,76.3,-1.0
10512,NOR PL1154 — 6303/9,Norway,Production License,67.27,800.0,76.3,-1.0
10513,NOR PL947 — 6607/9,Norway,Production License,67.27,800.0,76.3,-1.0
10514,NOR PL229 F — 7121/9,Norway,Production License,67.27,800.0,76.3,-1.0
10515,NOR PL792 — 6306/2,Norway,Production License,67.27,800.0,76.3,-1.0
10516,NOR PL1134 — 7424/12,Norway,Production License,67.27,800.0,76.3,-1.0
10517,NOR PL679 S — 30/2,Norway,Production License,67.27,800.0,76.3,-1.0
10518,NOR PL664 S — 2/3,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10519,NOR PL1046 — 24/6,Norway,Production License,67.27,800.0,76.3,-1.0
10520,NOR PL1028 — 7222/3,Norway,Production License,67.27,800.0,76.3,-1.0
10521,NOR PL1140 — 15/6,Norway,Production License,67.27,800.0,76.3,-1.0
10522,NOR PL1311 — 7122/10,Norway,Production License,67.27,800.0,76.3,-1.0
10523,NOR PL037 F — 33/9,Norway,Production License,86.81,322.4,76.3,-1.0
10524,NOR PL467 S — 35/7,Norway,Production License (Stratigraphical),67.27,800.0,76.3,-1.0
10525,NOR PL707 — 7127/5,Norway,Production License,67.27,800.0,76.3,-1.0
10526,NOR PL367 S — 30/4,Norway,Production License,67.27,800.0,76.3,-1.0
10527,NOR PL1075 — 7123/5,Norway,Production License,67.27,800.0,76.3,-1.0
10528,NOR PL575 — 29/9,Norway,Production License,67.27,800.0,76.3,-1.0
10529,NOR PL1074 — 7121/11,Norway,Production License,67.27,800.0,76.3,-1.0
10530,NOR PL494 B — 2/6,Norway,Production License,67.27,800.0,76.3,-1.0
10531,NOR PL404 — 10/11,Norway,Production License,67.27,800.0,76.3,-1.0
10532,NOR PL805 — 7120/2,Norway,Production License,67.27,800.0,76.3,-1.0
10533,NOR PL852 — 7322/7,Norway,Production License,67.27,800.0,76.3,-1.0
10534,NOR PL1076 — 7122/2,Norway,Production License,67.27,800.0,76.3,-1.0
10535,NOR PL755 — 6507/8,Norway,Production License,67.27,800.0,76.3,-1.0
10536,NOR PL1158 — 6406/7,Norway,Production License,67.27,800.0,76.3,-1.0
10537,NOR PL495 — 7/5,Norway,Production License,67.27,800.0,76.3,-1.0
10538,NOR PL1130 — 6707/12,Norway,Production License,67.27,800.0,76.3,-1.0
10539,NOR PL239 — 4/4,Norway,Production License,67.27,800.0,76.3,-1.0
10540,NOR PL1035 — 16/10,Norway,Production License,67.27,800.0,76.3,-1.0
